max_time_bin,begin_sig_period,end_sig_period
0.32499999999999996,0.28500000000000003,0.345
0.125,0.10500000000000001,0.155
0.195,0.165,0.33499999999999996
0.215,0.185,0.225
0.235,0.175,0.345
0.29500000000000004,0.265,0.30500000000000005
0.265,0.225,0.32499999999999996
0.275,0.245,0.29500000000000004
0.225,0.14500000000000002,0.255
0.10500000000000001,0.07500000000000001,0.115
0.28500000000000003,0.255,0.30500000000000005
0.315,0.28500000000000003,0.32499999999999996
0.385,0.365,0.405
0.165,0.135,0.175
0.225,0.185,0.41500000000000004
0.32499999999999996,0.275,0.365
0.195,0.115,0.28500000000000003
0.165,0.125,0.185
0.30500000000000005,0.245,0.405
0.07500000000000001,0.065,0.10500000000000001
0.155,0.14500000000000002,0.185
0.155,0.135,0.185
0.175,0.155,0.20500000000000002
0.32499999999999996,0.315,0.41500000000000004
0.33499999999999996,0.315,0.375
0.30500000000000005,0.175,0.345
0.385,0.365,0.405
0.225,0.195,0.235
0.395,0.365,0.41500000000000004
0.28500000000000003,0.265,0.30500000000000005
0.20500000000000002,0.10500000000000001,0.345
0.225,0.135,0.29500000000000004
0.225,0.185,0.255
0.225,0.185,0.345
0.195,0.165,0.255
0.215,0.175,0.245
0.165,0.14500000000000002,0.185
0.32499999999999996,0.275,0.385
0.33499999999999996,0.29500000000000004,0.345
0.175,0.155,0.20500000000000002
0.225,0.195,0.245
0.195,0.175,0.275
0.315,0.275,0.345
0.29500000000000004,0.245,0.315
0.315,0.265,0.365
0.32499999999999996,0.29500000000000004,0.33499999999999996
0.32499999999999996,0.275,0.395
0.215,0.165,0.265
0.315,0.28500000000000003,0.355
0.10500000000000001,0.07500000000000001,0.14500000000000002
0.245,0.165,0.41500000000000004
0.255,0.235,0.275
0.255,0.225,0.29500000000000004
0.345,0.30500000000000005,0.41500000000000004
0.215,0.125,0.315
0.315,0.275,0.405
0.405,0.235,0.41500000000000004
0.245,0.155,0.28500000000000003
